trade_date,classification,trades,active_accounts,daily_size_usd,daily_net_pnl,daily_win_rate,sentiment_value,daily_net_pnl_per_trade
2024-10-12,Neutral,10,1,159713.4,485.65502499999997,0.7,49.0,48.565502499999994
2024-10-13,Neutral,10,1,60002.42,-21.000841,0.0,50.0,-2.1000841
2024-10-14,Neutral,5,1,61916.020000000004,1891.948976,1.0,48.0,378.3897952
2024-10-15,Greed,7,1,81173.36,1141.815403,0.5714285714285714,65.0,163.11648614285716
2024-10-16,Greed,11,1,80229.17,191.400672,0.2727272727272727,73.0,17.40006109090909
2024-10-17,Greed,9,2,140531.75,-13.071147000000003,0.1111111111111111,71.0,-1.452349666666667
2024-10-18,Greed,6,1,120331.43000000001,291.103143,0.8333333333333334,73.0,48.5171905
2024-10-19,Greed,4,1,99996.86,-34.998901000000004,0.0,72.0,-8.749725250000001
2024-10-20,Greed,96,2,176447.86000000002,329.898338,0.11458333333333333,73.0,3.4364410208333336
2024-10-21,Greed,173,2,324117.99,2355.057521,0.3930635838150289,72.0,13.61304925433526
2024-10-22,Greed,3,1,60000.36,-21.000124,0.0,70.0,-7.000041333333333
2024-10-23,Greed,18,1,210006.07,-119.992052,0.0,71.0,-6.666225111111111
2024-10-25,Greed,30,2,427883.18,13092.020156999999,0.7,72.0,436.40067189999996
2024-10-27,Greed,4,1,90664.41,634.929768,0.75,74.0,158.732442
2024-10-28,Greed,13,2,121495.25,125.00682200000003,0.3076923076923077,72.0,9.615909384615387
2024-10-29,Greed,53,2,613267.8099999999,586.527162,0.05660377358490566,72.0,11.066550226415094
2024-10-30,Extreme Greed,25,1,11830.85,5.5530349999999995,0.28,77.0,0.22212139999999997
2024-10-31,Extreme Greed,48,3,896173.36,901.332883,0.7083333333333334,77.0,18.777768395833334
2024-11-01,Extreme Greed,23,2,260981.03,949.820861,0.2608695652173913,75.0,41.296559173913046
2024-11-02,Greed,2,1,40000.0,-13.999997,0.0,72.0,-6.9999985
2024-11-03,Greed,6,2,129055.66,-40.404152,0.0,74.0,-6.734025333333334
2024-11-04,Greed,36,2,451811.97,2641.2762940000002,0.6388888888888888,70.0,73.36878594444445
2024-11-05,Greed,10,1,200627.23,608.256404,0.5,70.0,60.8256404
2024-11-06,Greed,15,2,123906.9,2774.46982,0.4666666666666667,70.0,184.96465466666666
2024-11-07,Extreme Greed,113,3,111335.3,4467.17469362,0.5309734513274337,77.0,39.53251941256637
2024-11-08,Extreme Greed,39,2,270700.44,-158.29179800000006,0.15384615384615385,75.0,-4.058764051282052
2024-11-09,Extreme Greed,86,2,193384.41,36.724437,0.22093023255813954,75.0,0.42702833720930233
2024-11-10,Extreme Greed,173,3,413636.7,848.800788,0.2947976878612717,78.0,4.906362936416185
2024-11-11,Extreme Greed,373,4,1570572.42,6352.720446,0.24664879356568364,76.0,17.03142210723861
2024-11-12,Extreme Greed,171,4,1226354.52,3066.494541,0.19883040935672514,80.0,17.932716614035087
